1991/02/06???06:29:10,119.93,37.12,3.5,山东莱州市南
1991/02/06???06:29:34,119.93,37.12,3.6,山东莱州市南
1991/02/06???10:07:20,119.93,37.12,3.6,山东莱州市南
1991/01/31???08:08:50,123.8,34.87,4.6,黄海
1991/01/29???06:28:05,112.83,38.5,5.2,山西省忻州市西
1991/01/22???12:34:44,115.9,38.88,3.1,河北省安新
1991/01/15???23:23:44,115.9,38.88,3.1,河北省任县东北
1991/01/07???23:43:29,121.87,36.02,4.2,黄海
1991/01/03???13:39:21,124.73,38.05,3.9,黄海
1990/12/24???13:31:02,115.08,37.95,3.8,河北束鹿
1990/12/23???15:50:28,117.07,37.32,3,山东商河西
1990/12/15???03:27:25,114.43,36.78,3.7,河北永年
1990/12/12???06:14:15,120.75,38.6,3.7,渤海
1990/11/11???17:31:23,122,34.2,3.9,黄海
1990/11/05???08:51:17,114.87,37.38,3.3,河北省隆尧
1990/10/31???07:06:25,114.78,37.25,3,河北巨鹿西
1990/10/27???03:44:10,115.28,36.52,3.5,山东冠县西北
1990/10/09???02:36:32,118.38,34.05,3.6,江苏省宿迁北
1990/10/01???17:08:21,117.9,36.53,3.3,山东博山东北
1990/09/26???13:10:26,117.83,36.88,3.5,山东周村东北
1990/09/22???11:02:17,116.17,40.12,4.3,北京市昌平
1990/08/08???04:05:23,123.17,35.53,4.1,黄海
1990/08/03???10:48:16,117.97,34.9,3.5,山东苍山西北
1990/08/03???18:05:46,115.08,37.92,3.9,河北深泽南
1990/08/01???04:44:29,117.93,34.9,4.4,山东苍山西北
1990/07/29???13:22:57,121.57,33.43,3.4,黄海
1990/07/23???09:26:34,121.38,34.45,3.2,黄海
1990/07/20???07:19:31,118.92,35.72,3,山东莒县东北
1990/07/12???07:39:38,115.37,35.33,3,山东菏泽西北
1990/06/30???11:28:52,115.65,34.93,3.4,山东曹县东北
1990/06/19???12:28:40,124.33,37.02,4.2,黄海
1990/06/15???14:49:43,115.03,37.47,3.1,河北巨鹿北
1990/05/20???00:19:40,121.97,38.78,3.9,黄海
1990/04/21???06:07:47,118.78,39.58,3.7,河北省滦县附近
1990/04/20???05:52:36,118.87,39.63,3.7,河北省滦县附近
1990/04/14???07:39:56,122.25,35.08,3,黄海
1990/04/09???13:47:35,121.7,37.08,3.3,山东乳山东北
1990/03/24???12:21:03,115,37.38,3,河北省巨鹿北
1990/03/24???19:23:46,116.17,36.92,3.4,山东高唐西北
1990/03/12???15:59:28,113.58,37.12,3.9,山西省左权
1990/03/08???22:12:24,121.37,34.23,3,黄海
1990/02/27???00:19:30,122.5,36.08,4.6,黄海
1990/02/24???18:26:13,121.17,33.87,4,黄海
1990/02/21???19:07:58,121.63,34.33,3.1,黄海
1990/02/20???06:57:46,114.92,37.5,3.1,河北宁晋
1990/02/20???13:15:48,112.23,37.1,4.4,山西平遥南
1990/02/20???19:49:41,115.23,35.23,3,山东菏泽西
1990/02/13???20:15:57,119.28,38.13,3,渤海
1990/02/10???01:57:28,121.03,31.67,5.1,江苏常熟东
1990/01/04???05:52:45,121.55,32.35,4.1,南黄海
1992/03/23???14:23:14,122.35,34.08,3.1,黄海
1992/03/21???06:05:37,121.05,35.23,3.7,黄海
1992/01/24???01:38:11,121.2,35.22,3.2,黄海
1992/01/24???06:18:47,121.22,35.23,3.3,黄海
1992/01/24???10:23:11,121.15,35.2,3.6,黄海
1992/01/23???05:41:25,121.2,35.28,5.3,黄海
1992/01/23???06:03:50,121.1,35.27,3,黄海
1992/01/23???06:47:04,121.37,35.37,3,黄海
1992/01/14???06:21:31,113.62,34.47,4.5,河南登封南
1992/01/08???20:48:10,121.05,37.65,3.1,山东蓬莱县大季庄
1991/12/26???00:01:33,122.4,33.85,3.6,黄海
1991/12/11???06:33:49,120,38.22,3.1,渤海
